"Time","Values"
2021-06-05 18:55:00,0.000105
2021-06-05 18:55:15,263
2021-06-05 18:55:30,202
2021-06-05 18:55:45,199
2021-06-05 18:56:00,162
2021-06-05 18:56:15,203
2021-06-05 18:56:30,198
2021-06-05 18:56:45,165
2021-06-05 18:57:00,203
2021-06-05 18:57:15,194
2021-06-05 18:57:30,162
2021-06-05 18:57:45,177
2021-06-05 18:58:00,201
2021-06-05 18:58:15,0.00472
2021-06-05 18:58:30,14.8
2021-06-05 18:58:45,200
2021-06-05 18:59:00,196
2021-06-05 18:59:15,174
2021-06-05 18:59:30,203
2021-06-05 18:59:45,198
2021-06-05 19:00:00,170
2021-06-05 19:00:15,187
2021-06-05 19:00:30,199
2021-06-05 19:00:45,160
2021-06-05 19:01:00,163
2021-06-05 19:01:15,197
2021-06-05 19:01:30,0.0000647

