"Time","Values"
2021-06-05 19:51:30,0.0611
2021-06-05 19:51:45,0.0609
2021-06-05 19:52:00,255
2021-06-05 19:52:15,290
2021-06-05 19:52:30,238
2021-06-05 19:52:45,272
2021-06-05 19:53:00,272
2021-06-05 19:53:15,272
2021-06-05 19:53:30,238
2021-06-05 19:53:45,262
2021-06-05 19:54:00,255
2021-06-05 19:54:15,274
2021-06-05 19:54:30,255
2021-06-05 19:54:45,160
2021-06-05 19:55:00,34.1
2021-06-05 19:55:15,221
2021-06-05 19:55:30,274
2021-06-05 19:55:45,255
2021-06-05 19:56:00,265
2021-06-05 19:56:15,238
2021-06-05 19:56:30,272
2021-06-05 19:56:45,278
2021-06-05 19:57:00,267
2021-06-05 19:57:15,298
2021-06-05 19:57:30,187
2021-06-05 19:57:45,89.6

