"Time","Values"
2021-06-05 15:51:30,0.0605
2021-06-05 15:51:45,0.0814
2021-06-05 15:52:00,271
2021-06-05 15:52:15,272
2021-06-05 15:52:30,234
2021-06-05 15:52:45,238
2021-06-05 15:53:00,256
2021-06-05 15:53:15,272
2021-06-05 15:53:30,238
2021-06-05 15:53:45,274
2021-06-05 15:54:00,221
2021-06-05 15:54:15,255
2021-06-05 15:54:30,204
2021-06-05 15:54:45,289
2021-06-05 15:55:00,272
2021-06-05 15:55:15,289
2021-06-05 15:55:30,262
2021-06-05 15:55:45,272
2021-06-05 15:56:00,255
2021-06-05 15:56:15,272
2021-06-05 15:56:30,255
2021-06-05 15:56:45,289
2021-06-05 15:57:00,238
2021-06-05 15:57:15,31.2
2021-06-05 15:57:30,64.5
2021-06-05 15:57:45,48.3
2021-06-05 15:58:00,35.4
2021-06-05 15:58:15,32.7
2021-06-05 15:58:30,29.1
2021-06-05 15:58:45,31.2
2021-06-05 15:59:00,29.1
2021-06-05 15:59:15,33.3
2021-06-05 15:59:30,37.5
2021-06-05 15:59:45,49.9
2021-06-05 16:00:00,52.1
2021-06-05 16:00:15,49.9
2021-06-05 16:00:30,37.5
2021-06-05 16:00:45,29.1
2021-06-05 16:01:00,33.3
2021-06-05 16:01:15,39.6
2021-06-05 16:01:30,27.1
2021-06-05 16:01:45,3.71
2021-06-05 16:02:00,3.71
2021-06-05 16:02:15,3.47
2021-06-05 16:02:30,4.69
2021-06-05 16:02:45,5.66
2021-06-05 16:03:00,4.69
2021-06-05 16:03:15,5.66
2021-06-05 16:03:30,6.62
2021-06-05 16:03:45,5.66
2021-06-05 16:04:00,6.39
2021-06-05 16:04:15,6.63
2021-06-05 16:04:30,6.39
2021-06-05 16:04:45,5.42
2021-06-05 16:05:00,6.39
2021-06-05 16:05:15,7.12
2021-06-05 16:05:30,7.85
2021-06-05 16:05:45,3.95
2021-06-05 16:06:00,0.0611
2021-06-05 16:06:15,0.0610

