42.25506401062012
57.006115674972534
56.820021867752075
53.86316919326782
51.92318940162659
47.20057272911072
45.226728439331055
41.9948935508728
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 47.44 7055.387223      192056     36736           pread64
 14.52 2159.576014        3801    568127           madvise
  0.25   37.733047      943326        40           wait4
  0.18   26.090396     1534729        17           write
  0.15   22.075834        4645      4752        26 openat
  0.09   13.765895        2888      4766           mprotect
  0.08   12.142746        1338      9072           fstat
  0.06    8.186542        1713      4779           close
  0.00    0.440960         324      1357           mmap
  0.00    0.356393        1073       332           munmap
  0.00    0.179820          41      4361       315 stat
  0.00    0.092892         540       172           clone
  0.00    0.012286           3      3164           rt_sigaction
  0.00    0.008234           6      1220           read
  0.00    0.004609         112        41           execve
  0.00    0.003572          27       129           gettid
  0.00    0.002556          19       133           set_robust_list
  0.00    0.002407          13       178           getdents64
  0.00    0.002286           2      1038         3 lseek
  0.00    0.001615           3       538       536 ioctl
  0.00    0.000987           6       153           rt_sigprocmask
  0.00    0.000837          52        16           sync
  0.00    0.000671           3       203           brk
  0.00    0.000242           2        82        41 arch_prctl
  0.00    0.000206           5        41        41 access
  0.00    0.000174           3        49           geteuid
  0.00    0.000121           7        16           dup2
  0.00    0.000114           3        32           getpid
  0.00    0.000092           3        25           getegid
  0.00    0.000083           5        16           rt_sigreturn
  0.00    0.000082           3        24           getppid
  0.00    0.000079           3        25           getuid
  0.00    0.000077           4        19           fcntl
  0.00    0.000075           3        25           getgid
  0.00    0.000059          14         4           prctl
  0.00    0.000051          25         2           open
  0.00    0.000049          12         4           getrandom
  0.00    0.000031           7         4         3 readlink
  0.00    0.000012           4         3           dup
  0.00    0.000008           2         3           sigaltstack
  0.00    0.000005           5         1           set_tid_address
  0.00    0.000005           5         1           prlimit64
  0.00    0.000002           1         2           getcwd
  0.00    0.000000           0         1           lstat
  0.00    0.000000           0         1           sysinfo
------ ----------- ----------- --------- --------- ----------------
100.00 14871.811532                663444     10888 total
