32.32226228713989
44.49558186531067
44.685009241104126
41.088274002075195
39.63355350494385
36.15983009338379
34.88578271865845
31.839086294174194
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 47.27 3020.430365       13232    228256           pread64
  4.79  305.856802        1381    221370           madvise
  0.95   60.616401        2433     24910        26 openat
  0.54   34.640393         701     49392           fstat
  0.32   20.447644      511191        40           wait4
  0.27   17.070331     1004137        17           write
  0.27   16.978228         727     23341           mprotect
  0.26   16.686195         669     24937           close
  0.02    1.112190          77     14441       315 stat
  0.00    0.266768         184      1443           mmap
  0.00    0.115930         325       356           munmap
  0.00    0.044395         258       172           clone
  0.00    0.008948           2      3164           rt_sigaction
  0.00    0.008688         211        41           execve
  0.00    0.008632          25       338           getdents64
  0.00    0.008091           6      1218           read
  0.00    0.004794          37       129           gettid
  0.00    0.004278          32       133           set_robust_list
  0.00    0.002352          15       153           rt_sigprocmask
  0.00    0.002065           1      1038         3 lseek
  0.00    0.001684         105        16           sync
  0.00    0.001124           2       538       536 ioctl
  0.00    0.001002           4       220           brk
  0.00    0.000376           9        41        41 access
  0.00    0.000291           3        82        41 arch_prctl
  0.00    0.000254           7        32           getpid
  0.00    0.000188           3        49           geteuid
  0.00    0.000161          40         4           prctl
  0.00    0.000129           8        16           dup2
  0.00    0.000098           6        16           rt_sigreturn
  0.00    0.000098           3        25           getuid
  0.00    0.000095           3        24           getppid
  0.00    0.000093           3        25           getgid
  0.00    0.000091           3        25           getegid
  0.00    0.000066           3        19           fcntl
  0.00    0.000033           8         4           getrandom
  0.00    0.000025          12         2           open
  0.00    0.000021           7         3           dup
  0.00    0.000016           4         4         3 readlink
  0.00    0.000007           7         1           lstat
  0.00    0.000007           3         2           getcwd
  0.00    0.000002           0         3           sigaltstack
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00 6389.346216                624774     12786 total
