56.74930167198181
58.103039026260376
57.127723693847656
45.205933570861816
40.10304236412048
29.36568021774292
25.681089401245117
23.08857226371765
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  4.45  871.686993        3698    235709         3 epoll_wait
  1.91  373.693767        1001    373266     11420 read
  0.42   81.639876        1787     45685           madvise
  0.19   38.126217       17585      2168           munmap
  0.19   37.851047       17394      2176           pread64
  0.08   15.285645          45    336032           getpid
  0.01    2.823044         951      2967        26 openat
  0.01    2.715428         872      3114           mmap
  0.01    1.951961         310      6289       315 stat
  0.01    1.444047         272      5296           fstat
  0.00    0.471171         147      3189           close
  0.00    0.416663         299      1392           mprotect
  0.00    0.390391         172      2261           write
  0.00    0.339885        8497        40           wait4
  0.00    0.209478          77      2689           sendmsg
  0.00    0.029951          92       324           clone
  0.00    0.013610          30       441           epoll_ctl
  0.00    0.010764          36       294       171 connect
  0.00    0.009107          31       285           set_robust_list
  0.00    0.006003          48       123           shutdown
  0.00    0.005839          25       233           gettid
  0.00    0.005565          14       385           fcntl
  0.00    0.004591          38       119           getsockname
  0.00    0.004495         109        41           execve
  0.00    0.004161          33       123           setsockopt
  0.00    0.003740           1      3164           rt_sigaction
  0.00    0.003367           9       361           rt_sigprocmask
  0.00    0.003056          24       123           socket
  0.00    0.002838          15       178           getdents64
  0.00    0.002748          32        84           getrandom
  0.00    0.002122           2      1038         3 lseek
  0.00    0.001653          12       132           prctl
  0.00    0.001554           7       219           brk
  0.00    0.001199          74        16           sync
  0.00    0.001088           2       538       536 ioctl
  0.00    0.000648          15        41           uname
  0.00    0.000175           4        41        41 access
  0.00    0.000144           1        82        41 arch_prctl
  0.00    0.000112           7        16           dup2
  0.00    0.000091           1        49           geteuid
  0.00    0.000072           3        24           epoll_create
  0.00    0.000051           3        16           rt_sigreturn
  0.00    0.000049           1        25           getegid
  0.00    0.000045           1        25           getgid
  0.00    0.000045           1        24           getppid
  0.00    0.000043           1        24           pipe2
  0.00    0.000040           1        25           getuid
  0.00    0.000019           6         3           dup
  0.00    0.000000           0         2           open
  0.00    0.000000           0         1           lstat
  0.00    0.000000           0         2           getcwd
  0.00    0.000000           0         4         3 readlink
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         3           sigaltstack
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00 19601.485621               2190575     38269 total
